S.No.,Bridge Number,Bridge Name,Road Name,District,River/Stream,Chainage(Km),Length(m),Width(m),Span No,Foundation Type,Loading Capacity,Maintenance Division,Region,Completion Year,Cordinate,Bridge Type,Bridge Condition,Total Score,Load Restriction,Construction Status,Span Length(m),Data Updated Year
1,04-H001-004,Ninda Khola,Mahendra Rajmarga,Jhapa,Ninda ,5.46,318.6,RW-7.9 | CW-7,12,RCC Foundation,IRC class A/AA,Damak,Eastern,4,26.6602 | 88.1072,RCC T-Beam,5,3.6,0,Completed,26.55,2017
2,04-H001-003,Pali,Mahendra Rajmarga,Jhapa,Pali Khola,3.44,49.6,RW-7.8 | CW-7,3,Well Foundation,IRC class A/AA,Damak,Eastern,3,26.6505 | 88.1368,RCC T-Beam,7,3.1,0,Completed,16.5,2017
3,04-H001-028,Jhiljile,Mahendra Rajmarga,Jhapa,Jhiljhile,36.64,5.75,RW-10.6 | CW-9.8,1,Natural Rock,IRC class A/AA,Damak,Eastern,28,26.6433 | 87.8071,RCC Slab,7,3.1,0,Completed,5.75,2017
4,04-H001-001,Mechi,Mahendra Rajmarga,Jhapa,Mechi,0,583,RW-7.86 | CW-7,20,RCC Foundation,IRC class A/AA,Damak,Eastern,1,26.6440 | 88.1638,RCC T-Beam,6,2.7,0,Completed,29.15,2017
5,04-H001-031,Chyangri,Mahendra Rajmarga,Jhapa,Chyangri,42.25,6.7,RW-10.6 | CW-9.7,1,Natural Rock,,Damak,Eastern,31,26.6494 | 87.7619,RCC Slab,7,3.6,0,Completed,6.7,2017
6,04-H001-027,Satasi,Mahendra Rajmarga,Jhapa,Satasi,36.03,34.95,RW-7.8 | CW-7,4,RCC Foundation,,Damak,Eastern,27,26.6457 | 87.8152,RCC Slab,7,3.1,0,Completed,8.7,2017
7,04-H001-030,Kerakha,Mahendra Rajmarga,Jhapa,Kerakha,41.95,50,RW-7.8 | CW-7,3,RCC Foundation,IRC class A/AA,Damak,Eastern,30,26.6487 | 87.7653,RCC T-Beam,6,3.1,0,Completed,16.5,2017
8,04-H001-013,Aaduwa,Mahendra Rajmarga,Jhapa,Aduwa Khola,17.72,35,RW-7.9 | CW-7,4,RCC Foundation,IRC class A/AA,Damak,Eastern,13,26.6425 | 87.9897,RCC Slab,7,3.1,0,Completed,8.8,2017
9,04-H001-038,Mawa,Mahendra Rajmarga,Jhapa,Mawa,54.75,128.47,RW-7.9 | CW-7,6,RCC Foundation,IRC class A/AA,Damak,Eastern,38,26.6637 | 87.6426,RCC T-Beam,5,3.1,0,Completed,21.4,2017
10,04-H001-037,Bhutre,Mahendra Rajmarga,Jhapa,Bhutre,54,6.67,RW-10.4 | CW-9.7,1,Natural Rock,IRC class A/AA,Damak,Eastern,37,26.6632 | 87.6496,RCC Slab,6,3.6,0,Completed,6.67,2017
11,04-H001-017,Kankai,Mahendra Rajmarga,Jhapa,Kankai,29.85,702,RW-7.8 | CW-7,24,RCC Foundation,IRC class A/AA,Damak,Eastern,17,26.6553 | 87.8759,RCC T-Beam,7,3.1,0,Completed,29.25,2017
12,04-H001-015,Biring,Mahendra Rajmarga,Jhapa,Biring,23.4,399.2,RW-7.8 | CW-7,15,RCC Foundation,IRC class A/AA,Damak,Eastern,15,26.6404 | 87.9362,RCC T-Beam,6,3.1,0,Completed,26.55,2017
13,04-H001-024,Jharana-2,Mahendra Rajmarga,Jhapa,Jharna-2,34.63,33,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Damak,Eastern,24,26.6492 | 87.8304,RCC T-Beam,6,1.8,0,Completed,16.5,2017
14,04-H001-023,Jharana-1,Mahendra Rajmarga,Jhapa,Jharana - 01,34.25,33,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Damak,Eastern,23,26.6499 | 87.8341,RCC T-Beam,6,3.1,0,Completed,16.5,2017
15,04-H001-036,Betani,Mahendra Rajmarga,Jhapa,Betani,52.56,33.1,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Damak,Eastern,36,26.6624 | 87.6621,RCC T-Beam,6,3.1,0,Completed,16.5,2017
16,04-H001-012,Rekha,Mahendra Rajmarga,Jhapa,Rekha,14.76,35,RW-7.84 | CW-7,4,RCC Foundation,IRC class A/AA,Damak,Eastern,12,26.6493 | 88.0180,RCC Slab,7,3.1,0,Completed,8.75,2017
17,04-H001-011,Deuniya,Mahendra Rajmarga,Jhapa,Deuniya,13.48,26.3,RW-7.8 | CW-7,3,RCC Foundation,IRC class A/AA,Damak,Eastern,11,26.6496 | 88.0309,RCC T-Beam,7,3.6,0,Completed,8.75,2017
18,04-H001-033,Geuria,Mahendra Rajmarga,Jhapa,Gueria,45.91,20.7,RW-10.6 | CW-7.6,1,Well Foundation,IRC class A/AA,Damak,Eastern,33,26.6575 | 87.7270,RCC T-Beam,7,3.1,0,Completed,20.7,2017
19,04-H001-010,Phulbasa,Mahendra Rajmarga,Jhapa,Phulbasa,10.67,49.5,RW-7.86 | CW-7,3,RCC Foundation,IRC class A/AA,Damak,Eastern,10,26.6533 | 88.0583,RCC T-Beam,6,3.1,0,Completed,16.5,2017
20,04-H001-034,Ratuwa,Mahendra Rajmarga,Jhapa,Ratuwa,47.99,585,RW-7.9 | CW-7,20,RCC Foundation,IRC class A/AA,Damak,Eastern,34,26.6544 | 87.7060,RCC T-Beam,6,3.1,0,Completed,29.2,2017
21,04-H001-009,Raspandi,Mahendra Rajmarga,Jhapa,Raspandi,9.64,7.1,RW-10.55 | CW-9.75,1,Natural Rock,IRC class A/AA,Damak,Eastern,9,26.6532 | 88.0641,RCC Slab,7,3.6,0,Completed,7.1,2017
22,04-H001-035,Dhardhare,Mahendra Rajmarga,Jhapa,Dhardhare,52.215,16.25,RW-7.8 | CW-7,1,RCC Foundation,IRC class A/AA,Damak,Eastern,35,26.6622 | 87.6656,RCC T-Beam,6,3.6,0,Completed,16.25,2017
23,04-H001-002,Kali Khola,Mahendra Rajmarga,Jhapa,Kali khola,5.05,26.4,RW-7.86 | CW-7,3,RCC Foundation,IRC class A/AA,Damak,Eastern,2,26.6482 | 88.1460,RCC Slab,7,1.2,0,Completed,8.75,2017
24,04-H001-026,Dudhe - 2,Mahendra Rajmarga,Jhapa,Dudhe - 2,35.39,33,RW-7.9 | CW-7,2,Well Foundation,IRC class A/AA,Damak,Eastern,26,26.6476 | 87.8230,RCC T-Beam,6,3.1,0,Completed,16.5,2017
25,04-H001-005,Timai,Mahendra Rajmarga,Jhapa,Timai,6.52,66.2,RW-7.9 | CW-7,4,RCC Foundation,IRC class A/AA,Damak,Eastern,5,26.6594 | 88.0984,RCC T-Beam,6,3.1,0,Completed,16.5,2017
26,04-H001-016,Surunga,Mahendra Rajmarga,Jhapa,Surunga,26.691,33.4,RW-7.8 | CW-7,2,RCC Foundation,IRC class A/AA,Damak,Eastern,16,26.6436 | 87.9041,RCC T-Beam,6,3.6,0,Completed,16.7,2017
27,09-H001-040,Bakra,Mahendra Rajmarga,Morang,Bakra,57.55,319,RW-7.9 | CW-7,12,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,40,26.6638 | 87.6144,RCC T-Beam,5,3.1,0,Completed,26.6,2017
28,09-H001-054,Jharana,Mahendra Rajmarga,Morang,Jharana,82.04,20,RW-8 | CW-7.1,2,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,54,26.6693 | 87.3735,RCC Slab,7,3.6,0,Completed,10,2017
29,09-H001-055,Madhyali,Mahendra Rajmarga,Morang,Madhyali,84.66,10,RW-8 | CW-7.1,1,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,55,26.6619 | 87.3503,RCC Slab,7,3.6,0,Completed,10,2017
30,09-H001-039,Mawa Branch,Mahendra Rajmarga,Morang,Mawa branch,55,16.55,RW-7.8 | CW-7,1,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,39,26.6637 | 87.6396,RCC T-Beam,8,3.1,0,Completed,16.55,2017
31,09-H001-056,Mada,Mahendra Rajmarga,Morang,Mada,84.96,6.6,RW-10.52 | CW-10,1,Natural Rock,IRC class A/AA,Biratnagar,Eastern,56,26.6612 | 87.3478,RCC Slab,7,3.1,0,Completed,6.6,2017
32,09-H001-057,Malati,Mahendra Rajmarga,Morang,Malati,86.27,8.7,RW-7.9 | CW-7.1,1,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,57,26.6584 | 87.3348,RCC Slab,7,3.6,0,Completed,8.7,2017
33,09-H001-041,Solti,Mahendra Rajmarga,Morang,Solti,58.44,85.5,RW-7.9 | CW-7,4,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,41,26.6652 | 87.6067,RCC T-Beam,7,3.1,0,Completed,22.25+21.1+21.35+20.8,2017
34,09-H001-058,Trijuja Ganeshpur,Mahendra Rajmarga,Morang,Trijuja Ganeshpur,86.9,7,RW-10.5 | CW-10,1,Natural Rock,IRC class A/AA,Biratnagar,Eastern,58,26.6584 | 87.3270,RCC Slab,7,3.6,0,Completed,7,2017
35,09-H001-059,Gachhiya,Mahendra Rajmarga,Morang,Gachhiya,87.92,171.2,RW-7.9 | CW-7,8,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,59,26.6588 | 87.3170,RCC T-Beam,6,3.1,0,Completed,21.4,2017
36,09-H001-050,Lohendra,Mahendra Rajmarga,Morang,Lohendra,78.25,385.2,RW-7.9 | CW-7,18,Well Foundation,IRC class A/AA,Biratnagar,Eastern,50,26.6610 | 87.4091,RCC T-Beam,6,3.1,0,Completed,21.35,2017
37,09-H001-045,Morangi,Mahendra Rajmarga,Morang,Morangi,65.62,38,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,45,26.6606 | 87.5365,RCC T-Beam,6,3.1,0,Completed,18.9,2017
38,09-H001-048,Chisang Bhangabari,Mahendra Rajmarga,Morang,Chisang Bhangabari,74.7,45.4,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,48,26.6583 | 87.4474,RCC T-Beam,7,3.1,0,Completed,22.7,2017
39,09-H001-049,Betna,Mahendra Rajmarga,Morang,Betna,76.33,13,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,49,26.6588 | 87.4297,RCC T-Beam,7,3.1,0,Completed,13,2017
40,09-H001-046,Chisang 1,Mahendra Rajmarga,Morang,Chisang 1,70.29,40,RW-7.8 | CW-7,3,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,46,26.6588 | 87.4934,RCC T-Beam,7,3.1,0,Completed,13.2,2017
41,09-H001-042,Sanjhora,Mahendra Rajmarga,Morang,Sanjhora,60.48,64.28,RW-7.8 | CW-7,3,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,42,26.6594 | 87.5877,RCC T-Beam,6,3.1,0,Completed,21.35,2017
42,09-H001-047,Chisang 2,Mahendra Rajmarga,Morang,Chisang - 2,70.725,130.7,RW-7.9 | CW-7,5,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,47,26.6588 | 87.4890,RCC T-Beam,6,3.1,0,Completed,21.4+29.3*3+21.4,2017
43,09-H001-053,Sukuna,Mahendra Rajmarga,Morang,Sukuna,80.68,64.26,RW-7.9 | CW-7,3,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,53,26.6685 | 87.3883,RCC T-Beam,6,3.6,0,Completed,21.35*3,2017
44,09-H001-043,Pathari,Mahendra Rajmarga,Morang,Pathari,63.63,16.7,RW-7.8 | CW-7,1,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,43,26.6609 | 87.5566,RCC T-Beam,6,3.6,0,Completed,16.7,2017
45,09-H001-044,Dans,Mahendra Rajmarga,Morang,Dans,65.02,94.5,RW-7.9 | CW-7,5,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,44,26.6607 | 87.5430,RCC T-Beam,6,3.1,0,Completed,18.9,2017
46,09-H001-052,Sukuna Paini,Mahendra Rajmarga,Morang,Sukuna Paini,80.57,21.5,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,52,26.6684 | 87.3897,RCC T-Beam,6,3.6,0,Completed,21.5,2017
47,10-H001-072,Jamuwa Dhar,Mahendra Rajmarga,Sunsari,Jamuwa Dhar,120.05,13.5,RW-8 | CW-7.2,2,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,72,26.5980 | 87.0396,RCC Slab,5,3.1,0,Completed,6.7,2017
48,10-H001-061,Tengra,Mahendra Rajmarga,Sunsari,Tengra,91.97,33.6,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,61,26.6619 | 87.2784,RCC T-Beam,6,3.1,0,Completed,16.8,2017
49,10-H001-071,Jharuwa - 2,Mahendra Rajmarga,Sunsari,Jharuwa - 2,118.32,11.5,RW-8 | CW-7.2,2,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,71,26.5990 | 87.0569,RCC Slab,7,3.6,0,Completed,5.75,2017
50,10-H001-070,Jharuwa - 1,Mahendra Rajmarga,Sunsari,Jharuwa - 1,118.2,13.5,RW-8 | CW-7.2,2,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,70,26.5991 | 87.0581,RCC Slab,7,3.1,0,Completed,6.7,2017
51,10-H001-062,Kheti,Mahendra Rajmarga,Sunsari,Kheti,93.03,9.7,RW-8.1 | CW-7.3,1,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,62,26.6644 | 87.2682,RCC Slab,7,3.1,0,Completed,9.7,2017
52,10-H001-069,Khuniya,Mahendra Rajmarga,Sunsari,Khuniya,116.76,20.3,RW-8 | CW-7.2,3,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,69,26.6001 | 87.0724,RCC Slab,6,3.1,0,Completed,6.75,2017
53,10-H001-074,Sapta Koshi Canal,Mahendra Rajmarga,Sunsari,Sapta Koshi Canal,134.15,99.4,RW-7.9 | CW-6.7,7,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,74,26.5234 | 86.9324,RCC Slab,6,3.1,0,Completed,14.2,2017
54,10-H001-063,Devi Khola,Mahendra Rajmarga,Sunsari,Devi Khola,95.95,6.7,RW-12 | CW-11.2,2,RCC Foundation,,Biratnagar,Eastern,63,26.6722 | 87.2423,RCC Slab,8,3.1,0,Completed,3.35,2017
55,10-H001-060,Budhi,Mahendra Rajmarga,Sunsari,Budhi,91.05,128.4,RW-7.9 | CW-7.1,6,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,60,26.6595 | 87.2864,RCC T-Beam,5,3.1,0,Completed,21.4,2017
56,10-H001-064,Pakali,Mahendra Rajmarga,Sunsari,Pakali,97.75,15.5,RW-8 | CW-7.1,2,RCC Foundation,,Biratnagar,Eastern,64,26.6780 | 87.2235,RCC Slab,6,3.1,0,Completed,7.75,2017
57,10-H001-065,Chatara Canal,Mahendra Rajmarga,Sunsari,Chatara Canal,99.74,21.6,RW-8 | CW-5.7,3,RCC Foundation,,Biratnagar,Eastern,65,26.6718 | 87.2053,RCC Slab,6,3.6,0,Completed,7.2,2017
58,10-H001-073,vanta Bari Khola,Mahendra Rajmarga,Sunsari,vanta Bari Khola,131.72,21.4,RW-11.7 | CW-11.1,5,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,73,26.5234 | 86.9558,RCC Slab,3,3.6,0,Completed,4.28,2017
59,10-H001-066,Jorti,Mahendra Rajmarga,Sunsari,Jorti,106.7,12.3,RW-8.7 | CW-7.3,1,RCC Foundation,,Biratnagar,Eastern,66,26.6215 | 87.1670,RCC Slab,7,3.6,0,Completed,12.3,2017
60,10-H001-067,Sunsari,Mahendra Rajmarga,Sunsari,Sunsari,111.05,87.45,RW-7.8 | CW-7,3,N/A,,Biratnagar,Eastern,67,26.6043 | 87.1287,RCC T-Beam,6,3.1,0,Completed,29.15,2017
61,10-H001-068,Sukesena,Mahendra Rajmarga,Sunsari,Sukesena,113.4,7.5,RW-8.8 | CW-7.5,1,RCC Foundation,IRC class A/AA,Biratnagar,Eastern,68,26.6014 | 87.1059,RCC Slab,6,3.1,0,Completed,7.5,2017
62,15-H001-085,Chandra canal,Mahendra Rajmarga,Saptari,Chandra canal,151.47,11.2,RW-7.8 | CW-7,1,RCC Foundation,,Lahan,Eastern,85,26.6353 | 86.9068,RCC T-Beam,7,3.1,,Completed,11.2,2017
63,15-H001-086,Sundari,Mahendra Rajmarga,Saptari,Sundari,153.375,368.33,RW-7.8 | CW-7,72,RCC Foundation,,Lahan,Eastern,86,26.6451 | 86.8847,RCC Slab,6,3.1,0,Completed,5.12,2017
64,15-H001-099,Dudhela,Mahendra Rajmarga,Saptari,Dudhela,169.31,85.6,RW-7.9 | CW-7.1,4,RCC Foundation,,Lahan,Eastern,99,26.6247 | 86.7364,RCC T-Beam,7,3.1,0,Completed,16.2,2017
65,15-H001-090,Rai Khola,Mahendra Rajmarga,Saptari,Rai Khola,157.895,64.2,RW-7.8 | CW-7,3,RCC Foundation,,Lahan,Eastern,90,26.6451 | 86.8417,RCC T-Beam,6,3.6,0,Completed,21.4,2017
66,15-H001-093,Dumarjou - 2,Mahendra Rajmarga,Saptari,Dumarjou - 2,159,11.2,RW-8.1 | CW-7,1,RCC Foundation,,Lahan,Eastern,93,26.6456 | 86.8316,RCC T-Beam,6,3.6,0,Completed,11.2,2017
67,15-H001-091,Murkutuwa,Mahendra Rajmarga,Saptari,Murkutuwa,158.4,11.2,RW-7.8 | CW-7,1,RCC Foundation,,Lahan,Eastern,91,26.6454 | 86.8370,RCC T-Beam,7,3.6,0,Completed,11.2,2017
68,15-H001-080,Gid Khola - 2,Mahendra Rajmarga,Saptari,Gid Khola - 2,143.33,8.7,RW-10.5 | CW-7.1,2,Natural Rock,,Lahan,Eastern,80,26.5732 | 86.8929,RCC Slab,7,3.1,,Completed,4.3,2017
69,15-H001-113,Patharwa - 2,Mahendra Rajmarga,Saptari,Patharwa ,188.17,11.2,RW-7.9 | CW-7.05,1,RCC Foundation,IRC class A/AA,Lahan,Eastern,113,26.6700 | 86.5574,RCC T-Beam,6,3.1,0,Completed,11.2,2017
70,15-H001-089,Bandh Khola,Mahendra Rajmarga,Saptari,Bandh Khola,157.717,11.2,RW-7.8 | CW-7,1,RCC Foundation,,Lahan,Eastern,89,26.6448 | 86.8434,RCC T-Beam,7,3.6,0,Completed,11.2,2017
71,15-H001-092,Dumarjou - 1,Mahendra Rajmarga,Saptari,Dumarjou - 1,158.87,11.2,RW-7.8 | CW-7,1,N/A,,Lahan,Eastern,92,26.6456 | 86.8323,RCC T-Beam,7,3.1,0,Completed,11.2,2017
72,15-H001-110,Singeshra,Mahendra Rajmarga,Saptari,Singeshra,185.41,11.2,RW-7.9 | CW-7.1,1,RCC Foundation,IRC class A/AA,Lahan,Eastern,110,26.6581 | 86.5814,RCC T-Beam,6,3.1,0,Completed,11.2,2017
73,15-H001-116,Balan,Mahendra Rajmarga,Saptari,Balan,193.974,479.03,RW-8 | CW-7.1,18,RCC Foundation,IRC class A/AA,Lahan,Eastern,116,26.7013 | 86.5104,RCC T-Beam,7,3.1,0,Completed,26.55,2017
74,15-H001-114,Suranga,Mahendra Rajmarga,Saptari,Suranga,190.45,48.6,RW-7.93 | CW-7.03,3,Well Foundation,IRC class A/AA,Lahan,Eastern,114,26.6834 | 86.5399,RCC T-Beam,7,3.1,0,Completed,16.21,2017
75,15-H001-094,Mahuli,Mahendra Rajmarga,Saptari,Mahuli - 1,160.72,1100,RW-8.1 | CW-7.1,127,RCC Foundation,,Lahan,Eastern,94,26.6446 | 86.8136,RCC Slab,8,3.1,0,Completed,5*127,2017
76,15-H001-101,Tarkana - 3,Mahendra Rajmarga,Saptari,Tarkana - 3,174.8,13.8,RW-8 | CW-7.1,2,RCC Foundation,IRC class A/AA,Lahan,Eastern,101,26.6330 | 86.6829,RCC Slab,6,3.1,0,Completed,6.9,2017
77,15-H001-077,Koshighat,Mahendra Rajmarga,Saptari,Koshighat,139.7,11.8,RW-7.65 | CW-6.7,2,Natural Rock,,Lahan,Eastern,77,26.5499 | 86.8919,Steel Plate Girder,8,3.1,0,Completed,5.9,2017
78,15-H001-108,Chapin - 1,Mahendra Rajmarga,Saptari,Chapin - 1,182.33,7.9,RW-7.9 | CW-7.1,2,RCC Foundation,IRC class A/AA,Lahan,Eastern,108,26.6457 | 86.6090,RCC Slab,7,3.1,0,Completed,3.9,2017
79,15-H001-107,Kharak,Mahendra Rajmarga,Saptari,Kharak,181.4,124.9,RW-7.9 | CW-7,6,Well Foundation,IRC class A/AA,Lahan,Eastern,107,26.6431 | 86.6174,RCC T-Beam,6,3.1,0,Completed,20.7,2017
80,15-H001-106,Lakeshar,Mahendra Rajmarga,Saptari,Lakeshar,179.69,53.24,RW-7.9 | CW-7,2,Well Foundation,IRC class A/AA,Lahan,Eastern,106,26.6389 | 86.6340,RCC T-Beam,7,3.1,0,Completed,26.34 and 26.80,2017
81,15-H001-105,Deodhar,Mahendra Rajmarga,Saptari,Deodhar,178.03,64.3,RW-7.9 | CW-7,3,Well Foundation,IRC class A/AA,Lahan,Eastern,105,26.6369 | 86.6508,RCC T-Beam,7,3.1,0,Completed,21.35,2017
82,15-H001-079,Gid Khola - 1,Mahendra Rajmarga,Saptari,Gid Khola - 1,142.8,10,RW-10.6 | CW-9.6,2,Natural Rock,,Lahan,Eastern,79,26.5686 | 86.8914,RCC Slab,7,3.1,,Completed,5,2017
83,15-H001-104,Phapi,Mahendra Rajmarga,Saptari,Phapi,176.95,13.45,RW-8 | CW-7.1,3,RCC Foundation,IRC class A/AA,Lahan,Eastern,104,26.6356 | 86.6619,RCC Slab,7,3.6,0,Completed,4.55,2017
84,15-H001-109,Chapin,Mahendra Rajmarga,Saptari,Chapin,183.74,85.4,RW-7.9 | CW-7,4,RCC Foundation,IRC class A/AA,Lahan,Eastern,109,26.6516 | 86.5961,RCC T-Beam,6,3.1,0,Completed,21.25,2017
85,15-H001-112,Patharwa - 1,Mahendra Rajmarga,Saptari,Patharwal - 1,187.81,11.2,RW-7.92 | CW-7.02,1,RCC Foundation,IRC class A/AA,Lahan,Eastern,112,26.6678 | 86.5602,RCC T-Beam,6,3.1,0,Completed,11.2,2017
86,15-H001-103,Tarkana - 2,Mahendra Rajmarga,Saptari,Tarkana - 2,175.125,13.8,RW-8 | CW-7.1,3,RCC Foundation,IRC class A/AA,Lahan,Eastern,103,26.6334 | 86.6797,RCC Slab,7,3.1,0,Completed,4.6,2017
87,15-H001-115,Birdhana,Mahendra Rajmarga,Saptari,Birdhana,190.89,43,RW-7.95 | CW-7,2,Well Foundation,IRC class A/AA,Lahan,Eastern,115,26.6861 | 86.5368,RCC T-Beam,7,3.1,0,Completed,21.5,2017
88,15-H001-102,Tarkana - 1,Mahendra Rajmarga,Saptari,Tarkana - 1,175.23,22.48,RW-8 | CW-7.1,2,RCC Foundation,IRC class A/AA,Lahan,Eastern,102,26.6335 | 86.6783,RCC T-Beam,7,3.1,0,Completed,11.3,2017
89,15-H001-111,Amaha,Mahendra Rajmarga,Saptari,Amaha,186.88,53.2,RW-7.9 | CW-7.1,2,Well Foundation,IRC class A/AA,Lahan,Eastern,111,26.6631 | 86.5674,RCC T-Beam,7,3.1,0,Completed,26.65,2017
90,15-H001-081,Mahuli - 1,Mahendra Rajmarga,Saptari,Mahuli - 1,144.47,123,RW-7.7 | CW-6.8,18,Natural Rock,,Lahan,Eastern,81,26.5807 | 86.8959,RCC Slab,8,3.1,,Completed,6.95+(6.8*16)+6.75,2017
91,15-H001-083,Sundari - 1,Mahendra Rajmarga,Saptari,Sundari - 1,147.43,62,RW-7.8 | CW-7,9,Natural Rock,,Lahan,Eastern,83,26.5807 | 86.8959,RCC Slab,8,3.1,,Completed,6.9,2017
92,15-H001-078,Portaha,Mahendra Rajmarga,Saptari,Portaha,142,11.2,RW-10.6 | CW-10,2,Natural Rock,,Lahan,Eastern,78,26.5615 | 86.8879,RCC Slab,6,3.1,,Completed,5.6,2017
93,15-H001-084,Sundari Branch (Kanchanpur Barrirer),Mahendra Rajmarga,Saptari,Sundari Branch,149.61,20.7,RW-7.8 | CW-7,3,Natural Rock,,Lahan,Eastern,84,26.6292 | 86.9110,RCC Slab,6,3.6,0,Completed,6.85,2017
94,15-H001-095,Amsote,Mahendra Rajmarga,Saptari,Amsote,164.24,42.92,RW-7.8 | CW-7,2,Well Foundation,,Lahan,Eastern,95,26.6329 | 86.7838,RCC T-Beam,6,3.1,0,Completed,21.4,2017
95,15-H001-076,Koshi Canal,Mahendra Rajmarga,Saptari,Koshi Canal,135.63,42,RW-7.9 | CW-6.7,3,RCC Foundation,IRC class A/AA,Lahan,Eastern,76,26.5295 | 86.9223,RCC Slab,10,3.6,0,Completed,14,2017
96,15-H001-087,Bavana,Mahendra Rajmarga,Saptari,Bavana,155.72,11.2,RW-7.8 | CW-7,1,RCC Foundation,,Lahan,Eastern,87,26.6422 | 86.8623,RCC T-Beam,7,3.1,0,Completed,11.2,2017
97,15-H001-075,Koshi Barrage,Mahendra Rajmarga,Saptari,Koshi Barrage,134.72,1149,RW-7.9 | CW-7,55,RCC Foundation,IRC class A/AA,Lahan,Eastern,75,26.5260 | 86.9271,RCC T-Beam,10,3.6,0,Completed,20.8,2017
98,15-H001-096,Gehari,Mahendra Rajmarga,Saptari,Gehari,165.165,21.45,RW-7.8 | CW-7,1,RCC Foundation,,Lahan,Eastern,96,26.6296 | 86.7757,RCC T-Beam,7,3.1,0,Completed,21.45,2017
99,15-H001-082,Bhairawa,Mahendra Rajmarga,Saptari,Bhairawa,144.93,21,RW-10 | CW-9.2,3,Natural Rock,,Lahan,Eastern,82,26.5876 | 86.8987,RCC Slab,7,3.6,,Completed,7,2017
100,15-H001-097,Dumarjor,Mahendra Rajmarga,Saptari,Dumarjor,165.805,32.4,RW-7.8 | CW-7,2,RCC Foundation,,Lahan,Eastern,97,26.6281 | 86.7695,RCC T-Beam,6,3.1,0,Completed,16.2,2017
101,15-H001-098,Behai,Mahendra Rajmarga,Saptari,Behai,166.51,32.4,RW-7.8 | CW-7,2,RCC Foundation,,Lahan,Eastern,98,26.6264 | 86.7630,RCC T-Beam,7,3.1,0,Completed,16.2,2017
102,15-H001-088,Bhaguwa,Mahendra Rajmarga,Saptari,Bhaguwa,156.645,64.1,RW-7.8 | CW-7,3,RCC Foundation,,Lahan,Eastern,88,26.6438 | 86.8537,RCC T-Beam,5,3.6,0,Completed,21.40+21.35+21.35,2017
103,16-H001-134,Bhedhawa,Mahendra Rajmarga,Siraha,Bhedhawa,232,64.1,RW-7.9 | CW-7.1,3,RCC Foundation,IRC class A/AA,Lahan,Eastern,134,26.8707 | 86.1846,RCC T-Beam,5,3.1,0,Completed,21.5,2017
104,16-H001-130,Dibha,Mahendra Rajmarga,Siraha,Dibha,228.58,32.4,RW-7.93 | CW-7.05,2,RCC Foundation,IRC class A/AA,Lahan,Eastern,130,26.8452 | 86.2104,RCC T-Beam,6,3.1,0,Completed,16.2,2017
105,16-H001-122,Gagan - 2,Mahendra Rajmarga,Siraha,Gagan - 2,212.69,128.4,RW-7.95 | CW-7.05,6,Well Foundation,IRC class A/AA,Lahan,Eastern,122,26.7847 | 86.3519,RCC T-Beam,7,3.1,0,Completed,21.4,2017
106,16-H001-128,Mainabati - 2,Mahendra Rajmarga,Siraha,Mainabati - 2,226,16.2,RW-7.9 | CW-7,1,Open Foundation,,Lahan,Eastern,128,26.8351 | 86.2323,RCC T-Beam,7,3.1,0,Completed,16.2,2017
107,16-H001-126,Bataha,Mahendra Rajmarga,Siraha,Bataha,222.48,43,RW-8 | CW-7.1,2,Open Foundation,IRC class A/AA,Lahan,Eastern,126,26.8239 | 86.2656,RCC T-Beam,6,3.1,0,Completed,21.5,2017
